Tarefa,Início,Fim,Saída
teste2.py,2024-08-02 09:01:18.377498,2024-08-02 09:01:18.483475,"Hora atual: 2024-08-02 09:01:18
Script executado
",Manual
teste2.py,2024-08-02 09:01:21.520705,2024-08-02 09:01:21.650529,"Hora atual: 2024-08-02 09:01:21
Script executado
",Manual
teste2.py,2024-08-02 09:20:56.741026,2024-08-02 09:20:56.840057,"Hora atual: 2024-08-02 09:20:56
Script executado
",Agendado
teste2.py,2024-08-02 09:21:39.663976,2024-08-02 09:21:39.766895,"Hora atual: 2024-08-02 09:21:39
Script executado
",Agendado
teste2.py,2024-08-02 09:21:56.874102,2024-08-02 09:21:56.972903,"Hora atual: 2024-08-02 09:21:56
Script executado
",Agendado
teste2.py,2024-08-02 09:22:39.808747,2024-08-02 09:22:39.907282,"Hora atual: 2024-08-02 09:22:39
Script executado
",Agendado
teste2.py,2024-08-02 09:22:57.020346,2024-08-02 09:22:57.177573,"Hora atual: 2024-08-02 09:22:57
Script executado
",Agendado
teste2.py,2024-08-02 09:23:39.935742,2024-08-02 09:23:40.036520,"Hora atual: 2024-08-02 09:23:40
Script executado
",Agendado
teste2.py,2024-08-02 09:23:57.243497,2024-08-02 09:23:57.339959,"Hora atual: 2024-08-02 09:23:57
Script executado
",Agendado
