Tarefa,Início,Fim,Saída,Modo
teste2.py,2024-08-02 10:14:25.828871,2024-08-02 10:14:25.929294,"Hora atual: 2024-08-02 10:14:25
Script executado
",Agendado
teste2.py,2024-08-02 10:15:25.971970,2024-08-02 10:15:26.066751,"Hora atual: 2024-08-02 10:15:26
Script executado
",Agendado
teste2.py,2024-08-02 10:16:26.108242,2024-08-02 10:16:26.211941,"Hora atual: 2024-08-02 10:16:26
Script executado
",Agendado
teste2.py,2024-08-02 10:17:26.247690,2024-08-02 10:17:26.353592,"Hora atual: 2024-08-02 10:17:26
Script executado
",Agendado
teste2.py,2024-08-02 10:18:26.412539,2024-08-02 10:18:26.513423,"Hora atual: 2024-08-02 10:18:26
Script executado
",Agendado
teste2.py,2024-08-02 10:19:26.557915,2024-08-02 10:19:26.656617,"Hora atual: 2024-08-02 10:19:26
Script executado
",Agendado
teste2.py,2024-08-02 10:20:26.701014,2024-08-02 10:20:26.801832,"Hora atual: 2024-08-02 10:20:26
Script executado
",Agendado
teste2.py,2024-08-02 10:21:26.872253,2024-08-02 10:21:26.969425,"Hora atual: 2024-08-02 10:21:26
Script executado
",Agendado
teste2.py,2024-08-02 10:22:27.015400,2024-08-02 10:22:27.119522,"Hora atual: 2024-08-02 10:22:27
Script executado
",Agendado
teste2.py,2024-08-02 10:23:27.183522,2024-08-02 10:23:27.279376,"Hora atual: 2024-08-02 10:23:27
Script executado
",Agendado
teste2.py,2024-08-02 10:24:27.308209,2024-08-02 10:24:27.402184,"Hora atual: 2024-08-02 10:24:27
Script executado
",Agendado
teste2.py,2024-08-02 10:25:27.442981,2024-08-02 10:25:27.537463,"Hora atual: 2024-08-02 10:25:27
Script executado
",Agendado
teste2.py,2024-08-02 10:41:56.615434,2024-08-02 10:41:56.718866,"Hora atual: 2024-08-02 10:41:56
Script executado
",Agendado
teste2.py,2024-08-02 10:41:56.720573,2024-08-02 10:41:56.818540,"Hora atual: 2024-08-02 10:41:56
Script executado
",Agendado
